__time,terminal,flight,arrivals,departures
2006-04-30T23:00:00.000Z,Terminal 2,Domestic,103178,102882
2006-04-30T23:00:00.000Z,Terminal 2,International,154867,160172
2006-04-30T23:00:00.000Z,Terminal 3,Domestic,141814,145835
2006-04-30T23:00:00.000Z,Terminal 3,International,21559,56538
2006-04-30T23:00:00.000Z,Terminal 4,Domestic,421319,416106
2006-04-30T23:00:00.000Z,Terminal 4,International,63381,49805
2006-04-30T23:00:00.000Z,Terminal 5,Domestic,150001,146731
2006-04-30T23:00:00.000Z,Terminal 5,International,29699,28671
2006-04-30T23:00:00.000Z,Terminal 6,Domestic,218606,219638
2006-04-30T23:00:00.000Z,Terminal 6,International,4187,5009
2006-04-30T23:00:00.000Z,Terminal 7,Domestic,278391,278511
2006-04-30T23:00:00.000Z,Terminal 7,International,32810,36643
2006-04-30T23:00:00.000Z,Terminal 8,Domestic,118195,113395
2006-04-30T23:00:00.000Z,Tom Bradley International Terminal,Domestic,2944,0
2006-04-30T23:00:00.000Z,Tom Bradley International Terminal,International,403756,386494
2006-05-31T23:00:00.000Z,Imperial Terminal,Domestic,25,74
2006-05-31T23:00:00.000Z,Misc. Terminal,Domestic,5,66
2006-05-31T23:00:00.000Z,Terminal 1,Domestic,459302,460256
2006-05-31T23:00:00.000Z,Terminal 1,International,0,652
2006-05-31T23:00:00.000Z,Terminal 2,Domestic,108894,112702
2006-05-31T23:00:00.000Z,Terminal 2,International,156867,175532
2006-05-31T23:00:00.000Z,Terminal 3,Domestic,159549,162854
2006-05-31T23:00:00.000Z,Terminal 3,International,19948,52990
2006-05-31T23:00:00.000Z,Terminal 4,Domestic,428312,436887
2006-05-31T23:00:00.000Z,Terminal 4,International,67925,53056
2006-05-31T23:00:00.000Z,Terminal 5,Domestic,174320,182546
2006-05-31T23:00:00.000Z,Terminal 5,International,25471,32616
2006-05-31T23:00:00.000Z,Terminal 6,Domestic,232429,238648
2006-05-31T23:00:00.000Z,Terminal 6,International,9126,5648
2006-05-31T23:00:00.000Z,Terminal 7,Domestic,296558,304254
2006-05-31T23:00:00.000Z,Terminal 7,International,34183,47960
2006-05-31T23:00:00.000Z,Terminal 8,Domestic,118608,115685
2006-05-31T23:00:00.000Z,Tom Bradley International Terminal,Domestic,2824,0
