__time,name,nationality,sex,height,weight,sport,gold,silver,bronze
2016-01-01T00:00:00.000Z,Abigail Johnston,USA,female,166,61,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Abigel Joo,HUN,female,183,76,judo,0,0,0
2016-01-01T00:00:00.000Z,Ablaikhan Zhussupov,KAZ,male,175,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Abraham Kipchirchir Rotich,BRN,male,183,65,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abraham Naibei Cheroben,BRN,male,176,60,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abraham Niyonkuru,BDI,male,162,52,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abrar Osman,ERI,male,168,58,athletics,0,0,0
2016-01-01T00:00:00.000Z,Abubaker Haydar Abdalla,QAT,male,180,60,athletics,0,0,0
2016-01-01T00:00:00.000Z,Achraf Kharroubi,MAR,male,160,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Adam Batirov,BRN,male,165,71,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Adam Cwalina,POL,male,187,81,badminton,0,0,0
2016-01-01T00:00:00.000Z,Adam Decker,HUN,male,202.99999999999997,115,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Adam Dixon,GBR,male,169,70,hockey,0,0,0
2016-01-01T00:00:00.000Z,Adam Froese,CAN,male,182,81,hockey,0,0,0
2016-01-01T00:00:00.000Z,Adam Gemili,GBR,male,178,75,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adam Imer,BRA,male,182,88,hockey,0,0,0
2016-01-01T00:00:00.000Z,Adam Kszczot,POL,male,178,68,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adam Lundqvist,SWE,male,174,70,football,0,0,0
2016-01-01T00:00:00.000Z,Adam Marosi,HUN,male,181,75,modern pentathlon,0,0,0
2016-01-01T00:00:00.000Z,Adam Okruashvili,GEO,male,189,130,judo,0,0,0
2016-01-01T00:00:00.000Z,Adam Pattantyus,HUN,male,175,71,table tennis,0,0,0
2016-01-01T00:00:00.000Z,Adam Peaty,GBR,male,193,88,aquatics,1,1,0
2016-01-01T00:00:00.000Z,Adam Sebastian Helcelet,CZE,male,190,92,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adam Telegdy,HUN,male,194,77,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Adam Vella,AUS,male,178,92,shooting,0,0,0
2016-01-01T00:00:00.000Z,Adam Viktora,SEY,male,188,94,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Adam Wisniewski,POL,male,193,93,handball,0,0,0
2016-01-01T00:00:00.000Z,Adam Yates,GBR,male,172,58,cycling,0,0,0
2016-01-01T00:00:00.000Z,Adam van Koeverden,CAN,male,182,85,canoe,0,0,0
2016-01-01T00:00:00.000Z,Adama Diatta,SEN,male,165,57,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Adama Jammeh,GAM,male,0,0,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adas Juskevicius,LTU,male,194,90,basketball,0,0,0
2016-01-01T00:00:00.000Z,Adel Gholami,IRI,male,195,88,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Adel Mechaal,ESP,male,182,71,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adel Mojallalimoghadam,IRI,male,185,82,canoe,0,0,0
2016-01-01T00:00:00.000Z,Adela Bruns,CZE,female,171,60,shooting,0,0,0
2016-01-01T00:00:00.000Z,Adela Hanzlickova,CZE,female,171,67,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Adelina Bogus,ROU,female,186,75,rowing,0,0,1
2016-01-01T00:00:00.000Z,Adelina Pastor,ROU,female,168,56,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adelinde Cornelissen,NED,female,168,55,equestrian,0,0,0
2016-01-01T00:00:00.000Z,Adeline Maria Gray,USA,female,173,77,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Adem Boudjemline,ALG,male,180,85,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Adenizia da Silva,BRA,female,187,65,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Adham Ahmed Saleh Kahk,EGY,male,160,66,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Adilbek Niyazymbetov,KAZ,male,180,0,boxing,0,1,0
2016-01-01T00:00:00.000Z,Adilson da Silva,BRA,male,170,79,golf,0,0,0
2016-01-01T00:00:00.000Z,Aditi Ashok,IND,female,173,57,golf,0,0,0
2016-01-01T00:00:00.000Z,Adlan Abdurashidov,RUS,male,172,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Adnan Maric,SWE,male,183,78,football,0,0,0
2016-01-01T00:00:00.000Z,Adrian Andres Puentes Perez,CUB,male,171,76,archery,0,0,0
2016-01-01T00:00:00.000Z,Adrian Baches,BRA,male,184,83,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Adrian Blocki,POL,male,174,62,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adrian Chacon,CUB,male,187,90,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adrian Crisan,ROU,male,186,85,table tennis,0,0,0
2016-01-01T00:00:00.000Z,Adrian Dziolko,POL,male,189,85,badminton,0,0,0
2016-01-01T00:00:00.000Z,Adrian Eduardo Goide Arredondo,CUB,male,191,80,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Adrian Edward Zielinski,POL,male,170,94,weightlifting,0,0,0
2016-01-01T00:00:00.000Z,Adrian Gavira Collado,ESP,male,193,89,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Adrian Gomboc,SLO,male,170,69,judo,0,0,0
2016-01-01T00:00:00.000Z,Adrian Griffith,BAH,male,178,75,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adrian Ignacio Carambula Raurich,ITA,male,182,83,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Adrian Juhasz,HUN,male,188,89,rowing,0,0,0
2016-01-01T00:00:00.000Z,Adrian Oquendo,CUB,male,189,87,rowing,0,0,0
2016-01-01T00:00:00.000Z,Adrian Portela,ARG,male,185,95,handball,0,0,0
2016-01-01T00:00:00.000Z,Adriana Aparecida da Silva,BRA,female,166,52,athletics,0,0,0
2016-01-01T00:00:00.000Z,Adriana Araujo,BRA,female,167,0,boxing,0,0,0
2016-01-01T00:00:00.000Z,Adriana Diaz,PUR,female,160,50,table tennis,0,0,0
2016-01-01T00:00:00.000Z,Adriana Martin,ESP,female,162,65,archery,0,0,0
2016-01-01T00:00:00.000Z,Adriana Moises,BRA,female,170,65,basketball,0,0,0
2016-01-01T00:00:00.000Z,Adrien Bart,FRA,male,185,84,canoe,0,0,0
2016-01-01T00:00:00.000Z,Adrien Dipanda,FRA,male,202,105,handball,0,1,0
2016-01-01T00:00:00.000Z,Adrien Niyonshuti,RWA,male,165,68,cycling,0,0,0
2016-01-01T00:00:00.000Z,Adrienne Martelli,USA,female,186,77,rowing,0,0,0
2016-01-01T00:00:00.000Z,Adzo Rebecca Kpossi,TOG,female,158,53,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Ae-Ri Noort,NED,female,160,49,rowing,0,0,0
2016-01-01T00:00:00.000Z,Afa Ismail,MDV,female,0,0,athletics,0,0,0
2016-01-01T00:00:00.000Z,Afaf Elhodhod,EGY,female,163,75,shooting,0,0,0
2016-01-01T00:00:00.000Z,Afef Ben Ismail,TUN,female,173,60,canoe,0,0,0
2016-01-01T00:00:00.000Z,Africa Zamorano Sanz,ESP,female,170,58,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Afrodite Zegers,NED,female,161,58,sailing,0,0,0
2016-01-01T00:00:00.000Z,Agata Forkasiewicz,POL,female,168,54,athletics,0,0,0
2016-01-01T00:00:00.000Z,Agatha Bednarczuk,BRA,female,182,70,volleyball,0,1,0
2016-01-01T00:00:00.000Z,Ageze Guadie,ISR,male,175,56,athletics,0,0,0
2016-01-01T00:00:00.000Z,Aglaia Pezzato,ITA,female,175,60,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Agnes Osazuwa,NGR,female,162,65,athletics,0,0,0
2016-01-01T00:00:00.000Z,Agnes Raharolahy,FRA,female,167,58,athletics,0,0,0
2016-01-01T00:00:00.000Z,Agnese Pastare,LAT,female,179,68,athletics,0,0,0
2016-01-01T00:00:00.000Z,Agnete Kirk Thinggaard,DEN,female,172,62,equestrian,0,0,0
2016-01-01T00:00:00.000Z,Agnieszka Dygacz,POL,female,160,47,athletics,0,0,0
2016-01-01T00:00:00.000Z,Agnieszka Jadwiga Wieszczek-Kordus,POL,female,175,69,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Agnieszka Jerzyk,POL,female,170,59,triathlon,0,0,0
2016-01-01T00:00:00.000Z,Agnieszka Kobus,POL,female,177,68,rowing,0,0,1
2016-01-01T00:00:00.000Z,Agnieszka Nagay,POL,female,169,61,shooting,0,0,0
2016-01-01T00:00:00.000Z,Agnieszka Radwanska,POL,female,173,59,tennis,0,0,0
2016-01-01T00:00:00.000Z,Agnieszka Skrzypulec,POL,female,166,53,sailing,0,0,0
2016-01-01T00:00:00.000Z,Agnieszka Szwarnog,POL,female,165,51,athletics,0,0,0
2016-01-01T00:00:00.000Z,Agustin Mazzilli,ARG,male,173,77,hockey,1,0,0
2016-01-01T00:00:00.000Z,Agustin Vidal,ARG,male,194,100,handball,0,0,0
2016-01-01T00:00:00.000Z,Agustina Albertarrio,ARG,female,165,55,hockey,0,0,0
2016-01-01T00:00:00.000Z,Agustina Habif,ARG,female,165,55,hockey,0,0,0
2016-01-01T00:00:00.000Z,Ahmad Abughaush,JOR,male,178,68,taekwondo,1,0,0
2016-01-01T00:00:00.000Z,Ahmad Alafasi,IOA,male,0,0,shooting,0,0,0
2016-01-01T00:00:00.000Z,Ahmad Amsyar Azman,MAS,male,162,62,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Ahmad Hazer,LIB,male,188,80,athletics,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Abdelaal,EGY,male,188,89,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Abdelhay,EGY,male,197,87,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Abelrahman,EGY,male,165,60,judo,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Afifi,EGY,male,194,92,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Akram,EGY,male,188,80,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Ali,SUD,male,173,75,athletics,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Attellesey,LBA,male,0,0,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Bader Magour,QAT,male,190,90,athletics,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Darwish,EGY,male,172,80,shooting,0,0,0
2016-01-01T00:00:00.000Z,Ahmed El Kotb,EGY,male,197,80,volleyball,0,0,0
2016-01-01T00:00:00.000Z,Ahmed El-Nemr,EGY,male,183,84,archery,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Elahmar,EGY,male,181,79,handball,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Gebrel,PLE,male,0,0,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Goumar,NIG,male,180,73,judo,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Ibrahim,IRQ,male,184,80,football,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Kamar,EGY,male,175,60,shooting,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Mathlouthi,TUN,male,190,90,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Mohamed,EGY,male,170,73,shooting,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Mohamed,EGY,male,185,144,weightlifting,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Mohamed Ibrahim Saad,EGY,male,165,85,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Ragab,EGY,male,174,81,sailing,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Saad,EGY,male,160,62,weightlifting,0,0,0
2016-01-01T00:00:00.000Z,Ahmed Shaban,EGY,male,190,95,shooting,0,0,0
2016-01-01T00:00:00.000Z,Ahmet Li,TUR,male,173,67,table tennis,0,0,0
2016-01-01T00:00:00.000Z,Ahmet Orken,TUR,male,177,69,cycling,0,0,0
2016-01-01T00:00:00.000Z,Ahreum Na,KOR,female,163,55,cycling,0,0,0
2016-01-01T00:00:00.000Z,Ahymara Espinoza,VEN,female,180,99,athletics,0,0,0
2016-01-01T00:00:00.000Z,Ai Fukuhara,JPN,female,156,48,table tennis,0,0,1
2016-01-01T00:00:00.000Z,Ai Kondo Yoshida,JPN,female,161,58,sailing,0,0,0
2016-01-01T00:00:00.000Z,Ai Ueda,JPN,female,155,44,triathlon,0,0,0
2016-01-01T00:00:00.000Z,Ai Wen Yu,TPE,female,157,52,shooting,0,0,0
2016-01-01T00:00:00.000Z,Aiaal Lazarev,KGZ,male,195,125,wrestling,0,0,0
2016-01-01T00:00:00.000Z,Aichen Wang,CHN,male,185,75,sailing,0,0,0
2016-01-01T00:00:00.000Z,Aida Fall,SEN,female,193,95,basketball,0,0,0
2016-01-01T00:00:00.000Z,Aida Mohamed,HUN,female,162,58,fencing,0,0,0
2016-01-01T00:00:00.000Z,Aida Roman,MEX,female,169,64,archery,0,0,0
2016-01-01T00:00:00.000Z,Aida Shanaeva,RUS,female,173,63,fencing,0,0,0
2016-01-01T00:00:00.000Z,Aidan Roach,AUS,male,187,88,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Aika Hakoyama,JPN,female,176,62,aquatics,0,0,1
2016-01-01T00:00:00.000Z,Aikaterini Nikolaidou,GRE,female,180,70,rowing,0,0,0
2016-01-01T00:00:00.000Z,Aikaterini-Maria Kontochristopoulou,GRE,female,168,58,fencing,0,0,0
2016-01-01T00:00:00.000Z,Aiko Hayashi,JPN,female,166,56,aquatics,0,0,1
2016-01-01T00:00:00.000Z,Aiko Sugihara,JPN,female,146,35,gymnastics,0,0,0
2016-01-01T00:00:00.000Z,Aileen Reid,IRL,female,169,53,triathlon,0,0,0
2016-01-01T00:00:00.000Z,Ailen Valente,ARG,female,167,58,gymnastics,0,0,0
2016-01-01T00:00:00.000Z,Ailly Luciano,NED,female,171,69,handball,0,0,0
2016-01-01T00:00:00.000Z,Ailun Guo,CHN,male,192,85,basketball,0,0,0
2016-01-01T00:00:00.000Z,Aimee Fisher,NZL,female,183,99,canoe,0,0,0
2016-01-01T00:00:00.000Z,Aimee Willmott,GBR,female,171,66,aquatics,0,0,0
2016-01-01T00:00:00.000Z,Aina Cid I Centelles,ESP,female,170,60,rowing,0,0,0
2016-01-01T00:00:00.000Z,Ainhoa Hernandez,ESP,female,180,88,handball,0,0,0
2016-01-01T00:00:00.000Z,Ainhoa Murua,ESP,female,160,48,triathlon,0,0,0
2016-01-01T00:00:00.000Z,Ainur Yesbergenova,KAZ,female,164,49,taekwondo,0,0,0
2016-01-01T00:00:00.000Z,Airi Hatakeyama,JPN,female,171,46,gymnastics,0,0,0
2016-01-01T00:00:00.000Z,Airine Palsyte,LTU,female,187,63,athletics,0,0,0
